epoch,loss,mean_absolute_percentage_error,val_loss,val_mean_absolute_percentage_error
1,232.42262268066406,232.42262268066406,76.05715942382812,76.05715942382812
2,68.4598159790039,68.4598159790039,94.45191192626953,94.45191192626953
3,53.99674987792969,53.99674987792969,96.72833251953125,96.72833251953125
4,52.32535171508789,52.32535171508789,60.54115676879883,60.54115676879883
5,47.85381317138672,47.85381317138672,69.27330017089844,69.27330017089844
6,45.77643966674805,45.77643966674805,56.91218185424805,56.91218185424805
7,43.56319046020508,43.56319046020508,55.938934326171875,55.938934326171875
8,43.4677848815918,43.4677848815918,45.78288269042969,45.78288269042969
9,43.90244674682617,43.90244674682617,57.60747146606445,57.60747146606445
10,43.777835845947266,43.777835845947266,51.50438690185547,51.50438690185547
11,45.23611831665039,45.23611831665039,53.48708724975586,53.48708724975586
12,44.21472930908203,44.21472930908203,48.5037841796875,48.5037841796875
13,42.93947219848633,42.93947219848633,49.459564208984375,49.459564208984375
14,43.25433349609375,43.25433349609375,52.300636291503906,52.300636291503906
15,45.22507858276367,45.22507858276367,62.79320526123047,62.79320526123047
16,43.32719802856445,43.32719802856445,50.938873291015625,50.938873291015625
17,42.18216323852539,42.18216323852539,46.782371520996094,46.782371520996094
18,42.50518798828125,42.50518798828125,53.59901809692383,53.59901809692383
19,41.75217819213867,41.75217819213867,45.65647888183594,45.65647888183594
20,41.129337310791016,41.129337310791016,51.119693756103516,51.119693756103516
21,40.95063400268555,40.95063400268555,46.80555725097656,46.80555725097656
22,42.31157684326172,42.31157684326172,54.986934661865234,54.986934661865234
23,41.362754821777344,41.362754821777344,44.273136138916016,44.273136138916016
24,41.08250045776367,41.08250045776367,43.117164611816406,43.117164611816406
25,40.07986068725586,40.07986068725586,42.97976303100586,42.979766845703125
26,40.45449447631836,40.45449447631836,52.52391815185547,52.52391815185547
27,42.558231353759766,42.558231353759766,49.43952178955078,49.43952178955078
28,39.995845794677734,39.995845794677734,47.62816619873047,47.62816619873047
29,39.959228515625,39.959228515625,52.46659851074219,52.46659851074219
30,39.433128356933594,39.433128356933594,48.81610870361328,48.81610870361328
31,39.845619201660156,39.845619201660156,54.51241683959961,54.51241683959961
32,39.70048904418945,39.70048904418945,47.59886932373047,47.59886932373047
33,41.02059555053711,41.02059555053711,54.28315734863281,54.28315734863281
34,41.352149963378906,41.352149963378906,47.23806381225586,47.23806381225586
35,39.616695404052734,39.616695404052734,45.71036911010742,45.71036911010742
36,39.459781646728516,39.459781646728516,49.941993713378906,49.941993713378906
37,38.83599853515625,38.83599853515625,47.59562301635742,47.59562301635742
38,39.29384994506836,39.29384994506836,42.03209686279297,42.03209686279297
39,39.80875778198242,39.80875778198242,45.10297393798828,45.10297393798828
40,39.59809875488281,39.59809875488281,57.20211410522461,57.20210647583008
41,39.593109130859375,39.593109130859375,47.451290130615234,47.451290130615234
42,39.16710662841797,39.16710662841797,53.80579376220703,53.80579376220703
43,39.69266128540039,39.69266128540039,60.26382064819336,60.26382064819336
44,42.892086029052734,42.892086029052734,56.4766845703125,56.4766845703125
45,38.608848571777344,38.608848571777344,53.33571243286133,53.33571243286133
46,39.02995300292969,39.02995300292969,46.857303619384766,46.857303619384766
47,38.05610656738281,38.05610656738281,50.996490478515625,50.996490478515625
48,40.03459548950195,40.03459548950195,46.36875534057617,46.36875534057617
49,39.518070220947266,39.518070220947266,50.60997772216797,50.60997772216797
50,38.556114196777344,38.556114196777344,50.57013702392578,50.57013702392578
51,39.59128189086914,39.59128189086914,48.53483200073242,48.53483200073242
52,38.82196044921875,38.82196044921875,60.352420806884766,60.352420806884766
53,39.33118438720703,39.33118438720703,56.543392181396484,56.543392181396484
54,39.625244140625,39.625244140625,54.22866439819336,54.22866439819336
55,38.181297302246094,38.181297302246094,49.63740158081055,49.63740158081055
56,39.09684753417969,39.09684753417969,49.208160400390625,49.208160400390625
57,38.352439880371094,38.352439880371094,48.205318450927734,48.205318450927734
58,39.034481048583984,39.034481048583984,46.92707824707031,46.92707824707031
59,39.03900909423828,39.03900909423828,54.91132736206055,54.91132736206055
60,38.88805389404297,38.88805389404297,43.58403015136719,43.58403015136719
