epoch,loss,mean_absolute_percentage_error,val_loss,val_mean_absolute_percentage_error
1,191.10423278808594,191.10423278808594,95.19752502441406,95.19752502441406
2,76.58503723144531,76.58503723144531,81.10810852050781,81.10810852050781
3,63.68904495239258,63.68904495239258,81.60675048828125,81.60675048828125
4,57.21627426147461,57.21627426147461,70.63604736328125,70.63604736328125
5,47.18117141723633,47.18117141723633,53.68600845336914,53.68600845336914
6,47.056358337402344,47.056358337402344,46.33366775512695,46.33366775512695
7,45.46938705444336,45.46938705444336,53.382389068603516,53.382389068603516
8,45.46792984008789,45.46792984008789,48.83104705810547,48.83104705810547
9,44.02604675292969,44.02604675292969,47.59785079956055,47.59785079956055
10,45.47993087768555,45.47993087768555,47.99936294555664,47.99936294555664
11,44.16481399536133,44.16481399536133,49.04795837402344,49.04795837402344
12,43.429168701171875,43.429168701171875,45.643497467041016,45.643497467041016
13,45.874820709228516,45.874820709228516,47.5479736328125,47.5479736328125
14,43.50625991821289,43.50625991821289,79.17716217041016,79.17716217041016
15,43.3499641418457,43.3499641418457,49.297706604003906,49.29771041870117
16,43.86635208129883,43.86635208129883,48.75212860107422,48.75212860107422
17,43.39542007446289,43.39542007446289,48.797489166259766,48.797489166259766
18,42.853919982910156,42.853919982910156,44.130733489990234,44.130733489990234
19,43.730224609375,43.730224609375,56.98137664794922,56.98137664794922
20,42.977691650390625,42.977691650390625,50.88932418823242,50.88932418823242
21,42.75332260131836,42.75332260131836,56.98610305786133,56.98610305786133
22,43.49112319946289,43.49112319946289,49.25798797607422,49.25798797607422
23,42.246734619140625,42.246734619140625,45.91580581665039,45.91580581665039
24,43.505062103271484,43.505062103271484,45.86762237548828,45.86762237548828
25,41.59187316894531,41.59187316894531,43.874359130859375,43.874359130859375
26,41.280113220214844,41.280113220214844,52.51811599731445,52.51811599731445
27,42.10248947143555,42.10248947143555,49.59953689575195,49.59953689575195
28,42.10566329956055,42.10566329956055,46.99308776855469,46.99308776855469
29,41.7646484375,41.7646484375,60.40336990356445,60.40336990356445
30,42.022369384765625,42.022369384765625,46.04335021972656,46.04335021972656
31,40.651248931884766,40.651248931884766,52.97756576538086,52.97756576538086
32,40.91667938232422,40.91667938232422,44.91594314575195,44.91594314575195
33,42.394447326660156,42.394447326660156,45.359710693359375,45.359710693359375
34,43.08528518676758,43.08528518676758,49.59877395629883,49.59877395629883
35,40.3026123046875,40.3026123046875,42.14536666870117,42.14536666870117
36,40.28709030151367,40.28709030151367,51.70289993286133,51.70289993286133
37,39.09413528442383,39.09413528442383,44.62398147583008,44.62398147583008
38,39.594642639160156,39.594642639160156,46.74971008300781,46.74971008300781
39,39.87223815917969,39.87223815917969,43.76142501831055,43.76142501831055
40,39.83662414550781,39.83662414550781,54.37798309326172,54.37798309326172
41,39.329959869384766,39.329959869384766,43.75963592529297,43.75963592529297
42,39.99563217163086,39.99563217163086,50.68180465698242,50.68180465698242
43,39.158626556396484,39.158626556396484,44.90819549560547,44.90819549560547
44,38.265567779541016,38.265567779541016,51.26795196533203,51.26795196533203
45,38.85173797607422,38.85173797607422,48.77285385131836,48.77285385131836
46,38.94722366333008,38.94722366333008,45.06428146362305,45.06428146362305
47,38.8287353515625,38.8287353515625,47.17764663696289,47.17764663696289
48,39.264530181884766,39.264530181884766,44.95150375366211,44.95150375366211
49,39.98491668701172,39.98491668701172,47.13091278076172,47.13091278076172
